id	title	description	availability	link	price	sale price	gtin	mpn	brand	additional_image_link	condition	adult	color	size	gender	color	age group	google product category	image link	product type	item group id	identifier exists	sell on google quantity
LED Rechargeable Set	Welch Allyn 3.5 V SureColor LED Fiber Optic Otoscope Full Set 25282-CL Rechargeable	Product Info The OTICA Welch Allyn 3.5V Diagnostic LED Otoscope Full Set (25282-CL) is engineered for reliable, high-precision ear and throat examinations in clinical and hospital settings. Equipped with long-lasting LED SureColor illumination and advanced fiber optic light transmission, it provides a cool, bright, and uniform 360° ring of light with no glare or obstruction, ensuring true tissue color visualization. The wide-angle viewing lens enhances magnification and clarity of the tympanic membrane. The detachable head doubles as a high-intensity throat illuminator and penlight, while the pneumatic otoscopy port supports accurate assessment of eardrum mobility. Supplied with four reusable specula (2.5mm–5mm) and backed by a 1-year warranty, this rechargeable diagnostic otoscope is a dependable choice for ENT specialists and medical professionals. &nbsp; Key Features Professional 3.5V rechargeable diagnostic otoscope for ENT examinations Advanced LED SureColor illumination for bright, true tissue visualization Fiber optic technology delivers 360° cool light without shadows or glare Wide-angle viewing lens improves visibility under magnification Detachable head works as throat illuminator and penlight Includes 4 reusable ear specula: 2.5mm, 3mm, 4mm, and 5mm	in_stock	https://oticamart.com/us/welch-allyn-3-5-v-surecolor-led-fiber-optic-otoscope-full.html	424.76 USD				Welch Allyn	https://oticamart.com/media/catalog/product/a/1/a1-b.jpg, https://oticamart.com/media/catalog/product/a/1/a1-c.jpg, https://oticamart.com/media/catalog/product/a/1/a1-d.jpg, https://oticamart.com/media/catalog/product/a/1/a1-a.jpg, https://oticamart.com/media/catalog/product/a/1/a1-e.jpg	new	no			unisex		adult	Home & Garden > Lighting > Portable Lights	https://oticamart.com/media/catalog/product/a/1/a1_1.jpg	LED Lights > Rechargeable LED Set	LED Rechargeable Set	yes	100
Mouth Gag OHPL	Mouth Gag Stainless Steel Dental & Surgical Instrument Oral Procedures	Product Info The Mouth Gag Is A Professional-Grade Medical Instrument Used To Gently And Securely Keep The Mouth Open During Dental Exams, Oral Surgeries, Ent Procedures, Or Anesthesia Administration. It Is Widely Used In Hospitals, Clinics, And Surgical Settings To Ensure Accessibility And Safety During Treatment. Crafted From High-Quality Stainless Steel, This Reusable Mouth Gag Is Corrosion-Resistant, Autoclavable, And Designed To Last Through Repeated Sterilizations. The Adjustable Arms And Locking Mechanism Provide A Secure Yet Customizable Fit For Different Patient Sizes And Needs. Ideal For Use By Dentists, Oral Surgeons, Ent Specialists, And Anesthesiologists, This Mouth Gag Enhances Procedural Efficiency While Maintaining Patient Comfort And Control. Key Features Medical-Grade Stainless Steel : Rust-Proof And Reusable Adjustable Design : Fits Various Mouth Sizes Securely Locking Mechanism : Ensures Safe And Stable Positioning Autoclavable : Easy To Clean And Sterilize Between Uses Ideal For: Dental Surgery, Ent Procedures, Oral Examinations, And General Anesthesia	in_stock	https://oticamart.com/us/mouth-gag-stainless-steel-dental-surgical-instrument-oral-procedures.html	22.44 USD				OTICA	https://oticamart.com/media/catalog/product/7/1/71ukezb7tbl._sl1500_.jpg, https://oticamart.com/media/catalog/product/8/1/81jitahwc1l._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71jye1lzwtl._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71tkmznmbol._sl1500_.jpg	new	no					adult		https://oticamart.com/media/catalog/product/m/o/mouth-gag.jpg		Mouth Gag OHPL	yes	5
Home Nebulizer ONEB-2	OTICA Nebulizer Machine For Adult And Kids (Best Nebulizer)	Product Info The Home Nebulizer Delivers Efficient And Reliable Respiratory Treatment In The Comfort Of Your Home. Designed With Advanced Compressor Technology, It Converts Liquid Medication Into A Fine Mist, Allowing For Deep Lung Penetration And Faster Symptom Relief. Ideal For Patients With Asthma, Copd, Bronchitis, Or Other Respiratory Issues, The Oneb-2 Features A Compact, Lightweight Design And Operates Quietly—Making It Perfect For Both Adults And Children. The Kit Includes All Necessary Accessories: Adult Mask, Child Mask, Mouthpiece, Air Tube, And Medicine Cup. Built For Convenience And Durability, The Oneb-2 Is Easy To Clean And Operate, With One-Button Control And A Robust Motor For Long-Term Use. Key Features High Nebulization Rate : Ensures Quick And Effective Delivery Of Medication Low Noise Operation : Quiet Function For Stress-Free Therapy, Even For Kids Compact &amp; Portable Design : Space-Saving And Travel-Friendly One-Button Operation : Simple And Safe For All Users Complete Kit Included : Nebulizer, Adult &amp; Child Masks, Air Tube, Air Filters, Medicine Chamber, User Manual	in_stock	https://oticamart.com/us/nebulizer-for-home-compact-compressor-nebulizer-for-respiratory-therapy.html	9.70 USD				OTICA	https://oticamart.com/media/catalog/product/6/1/61cq2qdyg9l._sl1000_.jpg, https://oticamart.com/media/catalog/product/6/1/61iyvfocrdl._sl1000_.jpg, https://oticamart.com/media/catalog/product/6/1/61w5wydjahl._sl1000_.jpg, https://oticamart.com/media/catalog/product/h/o/home_nebulizer_oneb-7-01.png, https://oticamart.com/media/catalog/product/h/o/home_nebulizer_oneb-7-02.png, https://oticamart.com/media/catalog/product/h/o/home_nebulizer_oneb-7-03.png	new	no					adult		https://oticamart.com/media/catalog/product/5/1/51m0bzgv5wl._sl1000_.jpg		Home Nebulizer ONEB-2	yes	99
New Buckle Tourniquet Band - 2 Unit	Medical Tourniquet Band Blood Collection Adjustable Quick Release Buckle - Pack of 2	Product Info The New Buckle Tourniquet Band (2 Units) Is A Professional-Grade Medical Tool Designed For Quick And Effective Restriction Of Blood Flow During Venipuncture, Iv Insertion, And First Aid Situations. Featuring A Buckle-Style Quick-Release Mechanism, It Allows Single-Handed Operation, Making It Ideal For Busy Clinics, Hospitals, Laboratories, Or Mobile Medical Teams. Each Band Is Made From Latex-Free, Skin-Safe Elastic Material That’S Gentle On The Skin But Firm Enough To Maintain Compression. The Reusable Design Makes It An Economical And Eco-Friendly Option For Healthcare Providers. Perfect For Phlebotomists, Nurses, Emts, And Even Home Caregivers, This Pack Of 6 Units Ensures You'Re Always Equipped For Routine Or Emergency Use. Key Features Pack Of 2 Units : Cost-Effective Multipack For Professionals And Facilities Quick-Release Buckle : Allows For Fast, One-Hand Application And Removal Durable &amp; Reusable : Made From High-Quality, Elastic Fabric Latex-Free Material : Safe For Patients With Allergies Or Sensitive Skin Comfortable Fit : Stretchable Band Provides Effective Pressure Without Pinching	in_stock	https://oticamart.com/us/medical-tourniquet-band-blood-collection-adjustable-quick-release-buckle-emergency.html?color=blue	111.07 USD				OTICA	https://oticamart.com/media/catalog/product/8/1/81vlcsqzull._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/8176mpl67gl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81h3ilzi-1l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81kw6rlpb4l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/h/q/hqdefault_4.jpg	new	no				blue	adult		https://oticamart.com/media/catalog/product/t/o/tourniquet-band-2-unit.jpg		New Buckle Tourniquet Band - 2 Unit	yes	5
IV Stand OHPL	IV Stand 4 Wheels Adjustable Stainless Steel Pole Hospitals Clinics & Home Care	Product Info The Iv Stand With 4 Wheels Is A Medical-Grade Infusion Stand Designed To Provide Reliable And Convenient Support For Iv Drips And Fluid Administration. Constructed With A Heavy-Duty Stainless Steel Pole, It Features Height Adjustability To Accommodate Various Patient Positions—Seated, Standing, Or Lying In Bed. Equipped With Four Smooth-Gliding Swivel Wheels, The Stand Ensures Easy Maneuverability In Tight Spaces Such As Hospital Rooms, Treatment Centers, Or Home Environments. The Sturdy Base With Anti-Tip Design Offers Excellent Stability, Even When Holding Multiple Iv Bags. Ideal For Continuous Care, This Iv Pole Is Perfect For Hospitals, Nursing Homes, Outpatient Clinics, Or At-Home Therapy Settings. Whether Used For Chemotherapy, Hydration, Or Medication Delivery, It Combines Functionality, Safety, And Ease Of Use. Key Features 4-Wheel Base : Smooth 360° Mobility For Effortless Transport Adjustable Height : Easily Raise Or Lower To Desired Drip Level Stainless Steel Construction : Rust-Resistant And Easy To Clean Anti-Tip Base Design : Ensures Safety And Balance During Movement Iv Hook Top : Holds 2 To 4 Iv Fluid Bags Securely Ideal For : Hospitals, Clinics, Home Care, Dialysis Centers, And More	in_stock	https://oticamart.com/us/iv-stand-4-wheels-adjustable-stainless-steel-pole-hospitals-clinics.html	15.16 USD				OTICA	https://oticamart.com/media/catalog/product/i/v/iv-stand-3.jpg, https://oticamart.com/media/catalog/product/i/v/iv-stand-4.jpg, https://oticamart.com/media/catalog/product/i/v/iv-stand-2.jpg, https://oticamart.com/media/catalog/product/i/v/iv-stand-1.jpg, https://oticamart.com/media/catalog/product/i/v/iv-stand-5.png	new	no					adult		https://oticamart.com/media/catalog/product/i/v/iv-stand.jpg		IV Stand OHPL	yes	1000
OHPL Pluto 7 OT Light	LED OT Light Examination High Intensity Standing Spot Type Surgical 7 Spotlight Pluto	Product Info The Pluto Ot Light – 7 Led Spotlight Is A High-Performance Surgical Light Engineered For Optimal Illumination During Minor And Major Procedures. With 7 High-Power Led Bulbs, This Ot (Operating Theatre) Light Provides Shadowless, Bright White Light That Enhances Visibility Of Fine Anatomical Details, Helping Surgeons And Clinicians Perform With Greater Accuracy And Confidence. Its Ergonomic Spotlight Design Ensures Focused, Centralized Lighting With Adjustable Positioning For Any Angle Or Procedure. The Leds Offer Cool Light Output, Preventing Heat Buildup Even During Extended Use. The Pluto Ot Light Is Energy-Efficient, Long-Lasting, And Low-Maintenance—Ideal For Use In Operation Theatres, Icus, Emergency Rooms, And Outpatient Clinics. Key Features 7 Powerful Led Bulbs : Bright, Consistent Light With Long Lifespan Shadowless Illumination : Enhanced Visibility For Surgical Precision Adjustable Spotlight Design : Easy To Position And Focus During Procedures Cool White Light Output : Comfortable For Prolonged Surgical Use Energy Efficient &amp; Low Heat : Ideal For Sensitive Environments Durable &amp; Easy To Clean : Medical-Grade Construction For Sterile Conditions Ideal For : Operating Rooms, Icus, Minor Surgery Units, And Dental Or Gynecology Clinics	in_stock	https://oticamart.com/us/led-ot-light-examination-high-intensity-standing-spot-type-surgical.html	65.52 USD				OTICA	https://oticamart.com/media/catalog/product/m/i/minor--ploto-ot-7-light-2.jpg, https://oticamart.com/media/catalog/product/m/i/minor--ploto-ot-7-light-5.jpg, https://oticamart.com/media/catalog/product/m/i/minor--ploto-ot-7-light-4.jpg, https://oticamart.com/media/catalog/product/m/i/minor--ploto-ot-7-light-3.jpg	new	no					adult		https://oticamart.com/media/catalog/product/p/l/pluto-7-ot-light.jpg		OHPL Pluto 7 OT Light	yes	10
OHPL Star 21 OT Light	Pluto OT Light 21 LED Surgical Spotlight High Intensity Shadowless Operating Theatre Star	Product Info The Pluto Ot Light – 21 Led Spotlight Is A State-Of-The-Art Surgical Light Designed To Meet The Demanding Needs Of Operation Theatres, Icus, And Critical Care Units. Equipped With 21 High-Performance Led Bulbs, This Ot Light Produces Clear, Focused, And Shadowless Light For Enhanced Visibility During Both Minor And Major Surgical Procedures. The Ergonomically Designed Head Allows For Precise Positioning And Consistent Illumination, Minimizing Eye Strain For Surgeons And Assistants. It Provides Cool White Light To Prevent Heat Buildup In Sterile Zones, Ensuring Patient And Staff Comfort Even During Long Operations. Built With Energy-Efficient Led Technology, The Pluto Ot Light Is Cost-Effective, Low-Maintenance, And Long-Lasting—An Ideal Solution For Hospitals, Clinics, Surgical Centers, And Specialty Procedure Rooms. Key Features 21 High-Intensity Led Bulbs : Delivers Bright, Even Illumination Shadowless Lighting : Ensures Clarity And Precision During Surgery Flexible Spotlight Head : Easily Adjustable To Desired Angle And Position Cool Light Output : No Heat Emission, Ideal For Sterile Environments Energy-Efficient Design : Low Power Consumption And Long Led Life Durable &amp; Easy To Sanitize : Made With Medical-Grade Materials Ideal For : Ot Suites, Icu Units, Emergency Rooms, And Clinical Procedure Areas	in_stock	https://oticamart.com/us/pluto-ot-light-21-led-surgical-spotlight-high-intensity-shadowless.html	120.13 USD				OTICA	https://oticamart.com/media/catalog/product/m/i/minor-ot-light-2.jpg, https://oticamart.com/media/catalog/product/m/i/minor-ot-light-4.jpg, https://oticamart.com/media/catalog/product/m/i/minor-ot-light-3.jpg, https://oticamart.com/media/catalog/product/m/i/minor-ot-light-5.jpg	new	no					adult		https://oticamart.com/media/catalog/product/s/t/star-21-ot-light.jpg		OHPL Star 21 OT Light	yes	1000
Yuwell Manual Hand Suction OHPL	Yuwell Manual Hand Suction Pump Portable Emergency Device Airway Clearance	Product Info The Yuwell Manual Hand Suction Pump Is A High-Efficiency, Manual Suction Device Used To Clear The Airway Of Mucus, Saliva, Or Fluids In Emergency And Non-Emergency Situations. Designed For Portable And Power-Free Operation, This Hand Suction Unit Is Essential For Use In Ambulances, Home Care, Emergency Kits, Hospitals, And Disaster Response. Crafted From Durable Medical-Grade Plastic, It Features A Squeeze-Trigger Mechanism That Generates Strong Negative Pressure To Quickly Remove Obstructions From The Mouth Or Airway. The Device Includes A Collection Jar And Interchangeable Suction Catheters, Making It Suitable For Both Adult And Pediatric Use. Whether You Are A First Responder Or Caregiver, The Yuwell Hand Suction Pump Offers Dependable Performance When Power-Operated Machines Are Unavailable. Key Features Manual Operation : No Batteries Or Power Source Required Strong Suction Performance : Quick Removal Of Fluids And Obstructions Lightweight &amp; Portable : Easy To Carry In Emergency Kits Durable Construction : Built With High-Quality, Medical-Grade Plastic Reusable &amp; Easy To Clean : Detachable Components For Hygiene Includes Collection Jar &amp; Suction Tubes : Ready For Immediate Use Ideal For : Ambulances, Home Care, Clinics, Field Emergencies, And Disaster Relief	in_stock	https://oticamart.com/us/yuwell-manual-hand-suction-pump-portable-emergency-device-airway-clearance.html	18.19 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/y/u/yuwell-manual-hand-suction.jpg		Yuwell Manual Hand Suction OHPL	yes	999
Humdfire Botl-1 & Plastic Connct-1 OHPL+	Oxygen Humidifier Bottle with 1 Plastic Connector Compatible Concentrators & Cylinders	Product Info The Humidifier Bottle BOTL-1 with Plastic Connector -1 is an essential accessory for delivering comfortable and effective oxygen therapy. The bottle adds moisture to dry medical oxygen to help prevent nasal dryness, irritation, and throat discomfort during long-term use. Made from durable, medical-grade plastic, the humidifier bottle is transparent, allowing for easy water level monitoring. It includes a screw-on cap with a pressure-relief valve and diffuser stem for consistent mist output. The CONNCT-1 plastic connector securely attaches the humidifier to an oxygen concentrator, cylinder, or flowmeter, ensuring airtight flow and safe performance. This combo is ideal for home oxygen users, hospitals, and healthcare providers seeking a reliable, easy-to-use humidification setup. Key Features Complete Set : Includes BOTL-1 Humidifier Bottle &amp; Connector-1 Reduces Dryness : Adds moisture to oxygen flow for patient comfort Universal Fit : Compatible with most concentrators and oxygen delivery systems Clear, Durable Construction : Easy to clean and monitor water level Leak-Proof Design : Ensures secure, stable oxygen flow Safe &amp; Reusable : High-quality plastic suitable for repeated use Ideal For : Home oxygen therapy, hospitals, elderly care, and respiratory clinics	in_stock	https://oticamart.com/us/oxygen-humidifier-bottle-botl-1-plastic-connector-compatible-concentrators.html	4.84 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/h/u/humdfire-botl-1-plastic-connct-1.jpg		Humdfire Botl-1 & Plastic Connct-1 OHPL+	yes	998
Yuwell 7A-23A 20 LPM ABS Suction OHPL	Yuwell 7A-23D Suction Machine 20 LPM Double Bottle Electric Unit Medical & Surgical Use	Product Info The Yuwell 7A-23D Double Bottle Suction Machine Is A Heavy-Duty, Electrically Operated Medical Suction Unit Designed For Professional Use In Hospitals, Clinics, And Surgical Environments. With A High Suction Flow Rate Of 20 Liters Per Minute, It Efficiently Removes Mucus, Pus, Blood, And Other Bodily Fluids During Procedures Or Post-Operative Care. This Model Comes Equipped With Two 2500Ml Polycarbonate Bottles, Providing Extended Use Without The Need For Frequent Emptying. The Bottles Are Autoclavable, Leak-Resistant, And Securely Mounted To Ensure Safety And Hygiene. The Oil-Free, Maintenance-Free Piston Pump Delivers Reliable Negative Pressure While Keeping Noise Levels Low. It Also Features A Pressure Gauge, Overflow Protection, And Convenient Mobility Wheels For Easy Transport Between Rooms. Key Features High Flow Rate : 20 Lpm Suction Capacity For Fast And Efficient Fluid Removal Double Bottle Design : Two 2500Ml Jars For Longer Continuous Operation Oil-Free Piston Pump : Low Maintenance And Quiet Operation Overflow Protection System : Prevents Fluid Backflow Into The Unit Pressure Regulator &amp; Gauge : Easy Monitoring And Adjustment Mobile &amp; Portable : Smooth Wheels For Movement Across Hospital Areas Ideal For : Minor &amp; Major Surgeries, Icus, Dental Procedures, And Post-Op Drainage	in_stock	https://oticamart.com/us/yuwell-7a-23d-suction-machine-20-lpm-double-bottle-electric.html	163.82 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/y/u/yuwell-7-a-23-a-20-lpm-abs-suction.jpg		Yuwell 7A-23A 20 LPM ABS Suction OHPL	yes	1000
