entity_type,entity_id,request_path,new_request_path,target_path,redirect_type,store_id,description,is_autogenerated,metadata
custom,,oxygen-flowmeter-regulator-for-oxygen-cylinder-premium-quality-with-humidifier-bottle-pressure-gauge.html,,home-healthcare-devices/oxygen-concentrator.html,301,2,,,
custom,,otica-foldable-soft-stretcher-for-medical-use-portable-waterproof-stretcher-for-patient-emergency-use-patient-transport-stretcher-black-stretcher-with-carry-bag-support-upto-110kg-weight.html,,medical-device/product/emergency-stretcher.html,301,2,,,
custom,,welch-allyn-diagonistic-professional-ophthalmoscope-3-5v-surecolor-led-coaxial-ophthalmoscope-set-11772vcl.html,,professional-diagnostic-equipment/product/ophthalmoscope.html,301,2,,,
custom,,welch-allyn-retinoscope-3-5-v-diagnostic-hpx-illumination-professional-retinoscope-full-set-18342-c.html,,professional-diagnostic-equipment/product/retinoscope.html,301,2,,,
custom,,sterile-laryngeal-mask-airway-lma-disposable-pvc-material.html,,medical-device/operation-theatre-essentials/laryngeal-mask.html,301,2,,,
custom,,test-otica-product.html,,all-products.html,301,2,,,
custom,,nasal-n4-cpap-mask-ultra-light-comfortable-and-quiet-sleep-apnea-mask.html,,home-healthcare-devices/respiratory-mask.html,301,2,,,
custom,,otica-foam-filters-for-devilbiss-intellipap-cpap-machines-reusable-replacement-cpap-filters-compatible-with-intellipap-standard-autoadjust-bilevel-units.html,,home-healthcare-devices/respiratory-mask/cpap-bipap-machine.html,301,2,,,
custom,,otica-distilled-water-1l-ultrapure-with-0-tds-for-battery-humidifiers-inverter-battery-cosmetics-oxygen-concentrators-distilled-water-1-litre-battery-water-1-litre-zero-tds-water-1-litre.html,,home-healthcare-devices/oxygen-concentrator.html,301,2,,,
custom,,otica-surgical-ot-plain-sheet-premium-surgical-cotton-towels-lint-free-high-absorbency-reusable-and-durable-for-operating-rooms-wound-care-general-patient-care-autoclavable.html,,hospital-consumables/hospital-linen/surgical-drapes.html,301,2,,,
custom,,otica-fully-automatic-led-x-ray-view-box-with-1-year-warranty-x-ray-box-with-variable-brightness-control-for-hospital-clinic-extra-bright-led.html,,professional-diagnostic-equipment/product/xray-viewer.html,301,2,,,
custom,,test-otica-product-test3.html,,all-products.html,301,2,,,
custom,,ultrasound-probe-covers-endocavity-curved-array-latex-barrier-infection-control-5x18cm.html,,medical-device/accessories/ecg-and-usg.html,301,2,,,
custom,,tourniquet-band-reusable-quick-release-medical-new-buckle-tourniquet-band-pack-of-2-units.html,,all-products.html,301,2,,,
custom,,nebulizer-for-home-compact-compressor-nebulizer-for-respiratory-therapy.html,,home-healthcare-devices/allergy-sinus-asthma.html,301,2,,,
custom,,air-inlet-filter-for-oxygen-concentrator-compatible-with-devilbiss.html,,home-healthcare-devices/oxygen-concentrator.html,301,2,,,
