id	title	description	availability	link	price	sale price	gtin	mpn	brand	additional_image_link	condition	adult	color	size	gender	color	age group	google product category	image link	product type	item group id	identifier exists	sell on google quantity
Distilled Water-5 Litre	Distilled Water Ultrapure 0 TDS Water for Battery, Humidifiers, Inverter, Cosmetics & Oxygen Concentrators-5 Litre	Product Info OTICA Distilled Water is a high-purity consumable engineered for medical and laboratory environments requiring mineral-free performance. Manufactured through an advanced purification chain combining reverse osmosis, UV treatment, micron filtration, and steam distillation, it eliminates dissolved salts, heavy metals, and microbial contaminants. This ensures safe and stable operation of autoclaves, CPAP humidifiers, dental units, analyzers, and other precision equipment. Its low conductivity and zero-TDS profile protect internal components from scale, deposits, and corrosion, significantly improving device efficiency and lifespan. Packaged in a clean, tamper-sealed container, OTICA Distilled Water offers dependable consistency for clinical, industrial, and home medical use. &nbsp; Key Features High-purity distilled water for medical and laboratory use Processed with multi-stage purification for consistent quality Reverse osmosis and steam distillation ensure ultra-low TDS Ideal for autoclaves, CPAP humidifiers, and sterilizers Prevents mineral scaling in sensitive equipment Protects device components from corrosion and deposits	in_stock	https://oticamart.com/au/distilled-water-ultrapure-0-tds-water-for-battery-humidifiers-inverter-cosmetics-oxygen-concentrators.html?size=5+litre	9.20 AUD				OTICA	https://oticamart.com/media/catalog/product/8/1/81kepk8ytzl._sl1500__1_1_1.jpg, https://oticamart.com/media/catalog/product/8/1/816odih-pil._sl1500__1_1_1.jpg, https://oticamart.com/media/catalog/product/9/1/91mqrt792kl._sl1500__1_1.jpg, https://oticamart.com/media/catalog/product/9/1/91vs7kfnj5l._sl1500__1_1.jpg, https://oticamart.com/media/catalog/product/8/1/81uq0omq0al._sl1500__1_1_1.jpg, https://oticamart.com/media/catalog/product/8/1/81qp67c_vpl._sl1500__1_1_1.jpg, https://oticamart.com/media/catalog/product/8/1/81yrqvibj5l._sl1500__1_1.jpg, https://oticamart.com/media/catalog/product/9/1/91ifz0djjvl._sl1500__1_1.jpg	new	no		5 Litre			adult		https://oticamart.com/media/catalog/product/5/1/51zwew4mycl._sl1024__1_1_1.jpg		Distilled Water	yes	0
Distilled Water-1 Litre	Distilled Water Ultrapure 0 TDS Water for Battery, Humidifiers, Inverter, Cosmetics & Oxygen Concentrators-1 Litre	Product Info OTICA Distilled Water is a high-purity consumable engineered for medical and laboratory environments requiring mineral-free performance. Manufactured through an advanced purification chain combining reverse osmosis, UV treatment, micron filtration, and steam distillation, it eliminates dissolved salts, heavy metals, and microbial contaminants. This ensures safe and stable operation of autoclaves, CPAP humidifiers, dental units, analyzers, and other precision equipment. Its low conductivity and zero-TDS profile protect internal components from scale, deposits, and corrosion, significantly improving device efficiency and lifespan. Packaged in a clean, tamper-sealed container, OTICA Distilled Water offers dependable consistency for clinical, industrial, and home medical use. &nbsp; Key Features High-purity distilled water for medical and laboratory use Processed with multi-stage purification for consistent quality Reverse osmosis and steam distillation ensure ultra-low TDS Ideal for autoclaves, CPAP humidifiers, and sterilizers Prevents mineral scaling in sensitive equipment Protects device components from corrosion and deposits	in_stock	https://oticamart.com/au/distilled-water-ultrapure-0-tds-water-for-battery-humidifiers-inverter-cosmetics-oxygen-concentrators.html?size=1+litre	3.67 AUD				OTICA	https://oticamart.com/media/catalog/product/8/1/81p0uh8c4fl._sl1500__2.jpg, https://oticamart.com/media/catalog/product/8/1/816-2xfbh5l._sl1500__2.jpg, https://oticamart.com/media/catalog/product/9/1/91wuizcy_ql._sl1500__1__2.jpg, https://oticamart.com/media/catalog/product/9/1/919rubvksdl._sl1500__1__2.jpg, https://oticamart.com/media/catalog/product/8/1/81ph5sdydbl._sl1500__1__2.jpg, https://oticamart.com/media/catalog/product/9/1/91ifz0djjvl._sl1500__1__2.jpg, https://oticamart.com/media/catalog/product/8/1/81nv6x08jcl._sl1500__2.jpg, https://oticamart.com/media/catalog/product/8/1/81wqz9td8yl._sl1500__1__2.jpg	new	no		1 Litre			adult		https://oticamart.com/media/catalog/product/7/1/71_yhvvzlyl._sl1500__1__2.jpg		Distilled Water	yes	0
Enema-Kit-Blue	Enema Kit for Adults and Kids with Flexible Tube for Self Use Enima Pot for Home use (1500ml)-Blue	Product Info The OTICA Enema Kit (1500ml Capacity) is a complete and user-friendly solution designed for adults and kids. The graduated PVC enema can with lid allows easy monitoring of liquid levels, while the wall-mount design ensures convenient use. The kit includes a 2-meter flexible PVC hose with a positive-close clamp for smooth one-hand flow control. A non-traumatic, rounded-tip nozzle ensures safe and comfortable insertion, and the multi-hole colon tube allows even liquid distribution. Manufactured from BPA-free, medical-grade material, it is safe, hygienic, and reusable after proper cleaning. Ideal for home care, clinics, and personal hygiene routines, this kit is designed for easy operation, controlled flow, and reliable performance. &nbsp; Key Features Large 1500ml capacity for effective use Suitable for both adults and kids Graduated can for accurate liquid measurement 2-meter flexible tube for easy positioning Multi-hole tube for even liquid distribution Ideal for home and clinical personal care use	in_stock	https://oticamart.com/au/enema-kit-for-adults-and-kids-with-flexible-tube-for-self-use-enima-pot-for-home-use-1500ml.html?color=blue	4.59 AUD				OTICA	https://oticamart.com/media/catalog/product/6/1/61f0ztbtqrl._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/6/1/61uq6cuxdjl._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/7/1/71g4emgoe-l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71wjpwmxtel._sl1500__1.jpg, https://oticamart.com/media/catalog/product/6/1/61w0t7ke3bl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/719odmeoogl._sl1500__1__1.jpg	new	no				blue	adult		https://oticamart.com/media/catalog/product/6/1/616haw4p08l._sl1500__1.jpg		Enema-Kit	yes	0
Enema-Kit-White	Enema Kit for Adults and Kids with Flexible Tube for Self Use Enima Pot for Home use (1500ml)-White	Product Info The OTICA Enema Kit (1500ml Capacity) is a complete and user-friendly solution designed for adults and kids. The graduated PVC enema can with lid allows easy monitoring of liquid levels, while the wall-mount design ensures convenient use. The kit includes a 2-meter flexible PVC hose with a positive-close clamp for smooth one-hand flow control. A non-traumatic, rounded-tip nozzle ensures safe and comfortable insertion, and the multi-hole colon tube allows even liquid distribution. Manufactured from BPA-free, medical-grade material, it is safe, hygienic, and reusable after proper cleaning. Ideal for home care, clinics, and personal hygiene routines, this kit is designed for easy operation, controlled flow, and reliable performance. &nbsp; Key Features Large 1500ml capacity for effective use Suitable for both adults and kids Graduated can for accurate liquid measurement 2-meter flexible tube for easy positioning Multi-hole tube for even liquid distribution Ideal for home and clinical personal care use	in_stock	https://oticamart.com/au/enema-kit-for-adults-and-kids-with-flexible-tube-for-self-use-enima-pot-for-home-use-1500ml.html?color=white	4.59 AUD				OTICA	https://oticamart.com/media/catalog/product/5/1/51lxlmh2bql_1__1.jpg, https://oticamart.com/media/catalog/product/5/1/51k5momaxll_1.jpg, https://oticamart.com/media/catalog/product/5/1/51kn-54lcel_1__1.jpg, https://oticamart.com/media/catalog/product/4/1/41zk8viq1ul_1.jpg, https://oticamart.com/media/catalog/product/5/1/51gaurbcxml_1__1.jpg, https://oticamart.com/media/catalog/product/5/1/51nphn1h_kl_1.jpg	new	no				white	adult		https://oticamart.com/media/catalog/product/5/1/51yadojyd6l_1__2.jpg		Enema-Kit	yes	0
Tablet Cutter-Pink	Pill Cutter and Splitter for Daily Use Safely Cut Pills and Vitamins Precise Centering Travel Sized-Pink	Product Info The OTICA Tablet Cutter is a practical medical-accessory designed to simplify and secure the process of splitting or cutting tablets and pills — whether they are small or large. Crafted from tough ABS plastic and featuring a razor-sharp stainless-steel blade, this manual cutter delivers clean, accurate splits with minimal effort. Its compact size makes it suitable for home use, traveling, or carrying in a medicine kit. The cutter’s design ensures pills are held securely in place during cutting, reducing fragmentation or dosage inconsistency. This makes the OTICA cutter particularly suited for patients requiring dose adjustments, people with difficulty swallowing large pills, or households managing multiple medications. The durable construction ensures it withstands repeated daily use, offering long-term reliability at an affordable price point. According to regulatory classifications, such tablet-cutters are considered devices for pill splitting/crushing — intended for medications that are labeled safe for splitting or crushing.. &nbsp; Key Features Sharp stainless-steel blade for consistent, precise cuts. Designed to split tablets into halves, quarters, or eighths. Suitable for a wide range of pill sizes and shapes. Secure pill-holding base prevents pills from slipping during cut. Compact and portable — ideal for home, travel, or daily use. Easy to clean and maintain with simple rinse/wipe. Safe and stable for repeated daily use without blade degradation. Simple operation — suitable for elderly or users with limited hand strength.	in_stock	https://oticamart.com/au/best-pill-cutter-splitter-daily-usage-safely-cut-pills-vitamins-3.html?color=pink	5.26 AUD				OTICA	https://oticamart.com/media/catalog/product/7/1/716-oldzbxl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71xlbfuz4nl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81jthrkxwxl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71kp6ut9w5l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71iwu-dbtal._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81blxqerv4l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81icfvyprjl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81lmrq1yj2l._sl1500__1.jpg	new	no				pink	adult		https://oticamart.com/media/catalog/product/6/1/61lw440htwl._sl1500__1.jpg		Tablet Cutter OHPL	yes	0
First-Aid-Box-Green	First Aid Box Emergency Medical Kit Multi Compartment Storage & Key Lock Home School Office-Green	Product Info The First Aid Box – Emergency Medical Kit Box Is A Reliable And Secure Storage Solution For Organizing Essential Medical Supplies In Any Setting. Designed With Multiple Compartments And A Sturdy Key Lock, This Box Is Ideal For Quick Access During Emergencies While Keeping Medications Safe From Unauthorized Use, Especially Around Children. Made From High-Quality Metal Material , The Box Features Tiered Compartments And Removable Trays For Easy Sorting Of Medicines, Bandages, Antiseptics, Thermometers, And More. Its Compact Yet Spacious Design Allows It To Fit Neatly In Your Home, Classroom, Office, Clinic, Or Even During Travel. Whether You'Re Preparing For Minor Injuries Or Emergency Situations, This Portable And Lockable First Aid Kit Box Is A Smart Choice For Personal And Professional Health Safety Preparedness. Key Features Multi-Compartment Design : Organized Storage For Medicines &amp; Medical Tools Secure Key Lock : Keeps Medicines Safe And Out Of Reach Of Children Spacious Yet Compact : Holds All Essentials Without Taking Up Too Much Space Durable Build : Made From Strong, Easy-To-Clean Metal Portable Design : Built-In Handle For Mobility In Emergencies Transparent Or Labeled Lid (Optional) : For Quick Content Identification Ideal For : Homes, Schools, Offices, Clinics, Vehicles, And Hostels	in_stock	https://oticamart.com/au/first-aid-box-emergency-medical-kit-multi-compartment-storage.html	15.91 AUD				OTICA	https://oticamart.com/media/catalog/product/4/1/41m337ix2fl_1__1.jpg, https://oticamart.com/media/catalog/product/4/1/41oib0k30ql_1__1.jpg, https://oticamart.com/media/catalog/product/3/1/3104gj6pp4l_1.jpg, https://oticamart.com/media/catalog/product/5/1/51jujuaxfpl_1.jpg, https://oticamart.com/media/catalog/product/5/1/51pyky0m7cl_1__1.jpg, https://oticamart.com/media/catalog/product/6/1/61vkaewq6sl_1.jpg, https://oticamart.com/media/catalog/product/5/1/517wxx921zl_1__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/4/1/41ywhxv0ycl_1__1.jpg		First Aid Box	yes	0
First-Aid-Box-Full Green	First Aid Box Emergency Medical Kit Multi Compartment Storage & Key Lock Home School Office-Full Green	Product Info The First Aid Box – Emergency Medical Kit Box Is A Reliable And Secure Storage Solution For Organizing Essential Medical Supplies In Any Setting. Designed With Multiple Compartments And A Sturdy Key Lock, This Box Is Ideal For Quick Access During Emergencies While Keeping Medications Safe From Unauthorized Use, Especially Around Children. Made From High-Quality Metal Material , The Box Features Tiered Compartments And Removable Trays For Easy Sorting Of Medicines, Bandages, Antiseptics, Thermometers, And More. Its Compact Yet Spacious Design Allows It To Fit Neatly In Your Home, Classroom, Office, Clinic, Or Even During Travel. Whether You'Re Preparing For Minor Injuries Or Emergency Situations, This Portable And Lockable First Aid Kit Box Is A Smart Choice For Personal And Professional Health Safety Preparedness. Key Features Multi-Compartment Design : Organized Storage For Medicines &amp; Medical Tools Secure Key Lock : Keeps Medicines Safe And Out Of Reach Of Children Spacious Yet Compact : Holds All Essentials Without Taking Up Too Much Space Durable Build : Made From Strong, Easy-To-Clean Metal Portable Design : Built-In Handle For Mobility In Emergencies Transparent Or Labeled Lid (Optional) : For Quick Content Identification Ideal For : Homes, Schools, Offices, Clinics, Vehicles, And Hostels	in_stock	https://oticamart.com/au/first-aid-box-emergency-medical-kit-multi-compartment-storage.html	15.91 AUD				OTICA	https://oticamart.com/media/catalog/product/7/1/71o80f3nksl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/6/1/61bndlhg5dl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/6/1/61yxaxdrk6l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/716jakr5bhl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71orog2g0cl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81tcfo-zc6l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81h94nsh-5l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81-ecq670hl._sl1500__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/7/1/71pbtdt9orl._sl1500__1.jpg		First Aid Box	yes	0
First-Aid-Box-Red	First Aid Box Emergency Medical Kit Multi Compartment Storage & Key Lock Home School Office-Red	Product Info The First Aid Box – Emergency Medical Kit Box Is A Reliable And Secure Storage Solution For Organizing Essential Medical Supplies In Any Setting. Designed With Multiple Compartments And A Sturdy Key Lock, This Box Is Ideal For Quick Access During Emergencies While Keeping Medications Safe From Unauthorized Use, Especially Around Children. Made From High-Quality Metal Material , The Box Features Tiered Compartments And Removable Trays For Easy Sorting Of Medicines, Bandages, Antiseptics, Thermometers, And More. Its Compact Yet Spacious Design Allows It To Fit Neatly In Your Home, Classroom, Office, Clinic, Or Even During Travel. Whether You'Re Preparing For Minor Injuries Or Emergency Situations, This Portable And Lockable First Aid Kit Box Is A Smart Choice For Personal And Professional Health Safety Preparedness. Key Features Multi-Compartment Design : Organized Storage For Medicines &amp; Medical Tools Secure Key Lock : Keeps Medicines Safe And Out Of Reach Of Children Spacious Yet Compact : Holds All Essentials Without Taking Up Too Much Space Durable Build : Made From Strong, Easy-To-Clean Metal Portable Design : Built-In Handle For Mobility In Emergencies Transparent Or Labeled Lid (Optional) : For Quick Content Identification Ideal For : Homes, Schools, Offices, Clinics, Vehicles, And Hostels	in_stock	https://oticamart.com/au/first-aid-box-emergency-medical-kit-multi-compartment-storage.html	14.11 AUD				OTICA	https://oticamart.com/media/catalog/product/6/1/61lhlcgepul._sl1500__2__1.jpg, https://oticamart.com/media/catalog/product/6/1/61zlhnuushl._sl1500__2__1.jpg, https://oticamart.com/media/catalog/product/6/1/61h21gknaal._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/7/1/71h69jgp2rl._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/8/1/81g01shr99l._sl1500__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/7/1/711pyso4zvl._sl1500__1__1.jpg		First Aid Box	yes	0
Single-Film-XRAY-VIEW-BOX	Fully Automatic LED Single Film X Ray View Box 1 Year Warranty Variable Brightness Control Hospital Clinic Extra Bright XRAY Box	Product Info FThe OTICA X-Ray View Box is engineered for precise radiograph examination using advanced high-intensity LED illumination that provides consistent 10,000–12,000 Lux brightness across the entire screen. The uniform light distribution enhances image clarity, enabling doctors to interpret X-rays with greater accuracy. Its ultra-slim, lightweight structure and smooth acrylic viewing surface support easy wall or table installation. Designed with film-grip clamps to hold X-ray sheets securely, the unit operates with minimal heat, low power consumption, and extended LED life. Ideal for hospitals, dental clinics, physiotherapy centers, orthopedic practices, and imaging facilities seeking dependable, professional-grade viewing equipment. &nbsp; Key Features • High-brightness LED illumination for accurate X-ray reading • 10,000–12,000 Lux output for medical-grade clarity • Uniform backlight distribution with zero dark spots • Ultra-slim, modern, lightweight design • Energy-efficient LEDs with long operational life • Low heat emission for safe continuous use • Flicker-free lighting reduces eye strain • High-quality acrylic viewing panel • Film-grip holders to secure X-ray sheets • Durable frame suitable for long-term clinical use • Wall-mount and table-mount compatible • Low power consumption for daily imaging workloads • Quick start illumination with no warm-up time • Vibration-free, silent operation • Stable illumination for precise diagnostics • Suitable for hospitals, clinics, and laboratories • Easy to clean and maintain • Even performance for orthopedic, dental, and radiology use • Designed for consistent brightness over full panel • Professional construction compliant with clinical standards	in_stock	https://oticamart.com/au/fully-automatic-led-ray-view-box-1-year-warranty.html	24.88 AUD				OTICA	https://oticamart.com/media/catalog/product/7/1/71tu3mrufkl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71iep3ctail._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71fkecsfwxl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/718mtga9hkl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/710au5tfkol._sl1500__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/6/1/61cari8mqpl._sl1500__1.jpg		XRAY VIEW BOX OHPL-1	yes	0
Double-Film-XRAY-VIEW-BOX	Fully Automatic LED Double Film X Ray View Box 1 Year Warranty Variable Brightness Control Hospital Clinic Extra Bright XRAY Box	Product Info FThe OTICA X-Ray View Box is engineered for precise radiograph examination using advanced high-intensity LED illumination that provides consistent 10,000–12,000 Lux brightness across the entire screen. The uniform light distribution enhances image clarity, enabling doctors to interpret X-rays with greater accuracy. Its ultra-slim, lightweight structure and smooth acrylic viewing surface support easy wall or table installation. Designed with film-grip clamps to hold X-ray sheets securely, the unit operates with minimal heat, low power consumption, and extended LED life. Ideal for hospitals, dental clinics, physiotherapy centers, orthopedic practices, and imaging facilities seeking dependable, professional-grade viewing equipment. &nbsp; Key Features • High-brightness LED illumination for accurate X-ray reading • 10,000–12,000 Lux output for medical-grade clarity • Uniform backlight distribution with zero dark spots • Ultra-slim, modern, lightweight design • Energy-efficient LEDs with long operational life • Low heat emission for safe continuous use • Flicker-free lighting reduces eye strain • High-quality acrylic viewing panel • Film-grip holders to secure X-ray sheets • Durable frame suitable for long-term clinical use • Wall-mount and table-mount compatible • Low power consumption for daily imaging workloads • Quick start illumination with no warm-up time • Vibration-free, silent operation • Stable illumination for precise diagnostics • Suitable for hospitals, clinics, and laboratories • Easy to clean and maintain • Even performance for orthopedic, dental, and radiology use • Designed for consistent brightness over full panel • Professional construction compliant with clinical standards	in_stock	https://oticamart.com/au/fully-automatic-led-ray-view-box-1-year-warranty.html	55.14 AUD				OTICA	https://oticamart.com/media/catalog/product/7/1/71hzgscpzwl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71uxcns1d1l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71nygynofdl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71cth18o6nl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/7/1/71bba9_qgul._sl1500__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/5/1/51crumjks6l._sl1500__1.jpg		XRAY VIEW BOX OHPL-1	yes	0
