id	title	description	availability	link	price	sale price	gtin	mpn	brand	additional_image_link	condition	adult	color	size	gender	color	age group	google product category	image link	product type	item group id	identifier exists	sell on google quantity
PVC laryngeal Airway	Sterile Laryngeal Mask Airway PVC	Product Info The Sterile Laryngeal Mask Airway (LMA) – Size 1 is a single-use airway device made from high-quality, medical-grade PVC, engineered specifically for neonates and infants weighing up to 5 kg. It is ideal for use during pediatric anesthesia, resuscitation, and short surgical procedures, offering a less invasive alternative to endotracheal intubation. Designed with a smooth, anatomically curved airway tube and a soft inflatable cuff, this LMA ensures a snug seal around the laryngeal inlet while minimizing trauma to delicate tissues. Its EO sterilization and individually sealed packaging ensure maximum hygiene and patient safety. With a universal 15 mm connector, it seamlessly integrates with most anesthesia and ventilation systems, making it an essential device in NICUs, pediatric ICUs, ambulances, and emergency medical settings. Key Features Size : 1 – Suitable for neonates and small infants (0–5 kg) Material : Medical-grade PVC – soft, flexible, and latex-free Sterile &amp; Disposable : EO sterilized, individually packed for one-time use Inflatable Cuff : Provides a secure and leak-resistant seal Anatomical Design : Easy, trauma-free insertion Universal Connector : 15 mm standard fit for anesthesia and ventilator systems Safe &amp; Practical : Minimizes risk of cross-contamination with single-use design	in_stock	https://oticamart.com/default/sterile-laryngeal-mask-airway-pvc.html	12.12 USD				OTICA	https://oticamart.com/media/catalog/product/s/i/silicone-laryngeal-airway-size-5_7.jpg	new	no					adult		https://oticamart.com/media/catalog/product/p/v/pvc-larygeal-airway-1-5.jpg		PVC laryngeal Airway	yes	1
Mouth Gag OHPL	Mouth Gag Stainless Steel Dental & Surgical Instrument Oral Procedures	Product Info The Mouth Gag Is A Professional-Grade Medical Instrument Used To Gently And Securely Keep The Mouth Open During Dental Exams, Oral Surgeries, Ent Procedures, Or Anesthesia Administration. It Is Widely Used In Hospitals, Clinics, And Surgical Settings To Ensure Accessibility And Safety During Treatment. Crafted From High-Quality Stainless Steel, This Reusable Mouth Gag Is Corrosion-Resistant, Autoclavable, And Designed To Last Through Repeated Sterilizations. The Adjustable Arms And Locking Mechanism Provide A Secure Yet Customizable Fit For Different Patient Sizes And Needs. Ideal For Use By Dentists, Oral Surgeons, Ent Specialists, And Anesthesiologists, This Mouth Gag Enhances Procedural Efficiency While Maintaining Patient Comfort And Control. Key Features Medical-Grade Stainless Steel : Rust-Proof And Reusable Adjustable Design : Fits Various Mouth Sizes Securely Locking Mechanism : Ensures Safe And Stable Positioning Autoclavable : Easy To Clean And Sterilize Between Uses Ideal For: Dental Surgery, Ent Procedures, Oral Examinations, And General Anesthesia	in_stock	https://oticamart.com/default/mouth-gag-stainless-steel-dental-surgical-instrument-oral-procedures.html	4.84 USD				OTICA	https://oticamart.com/media/catalog/product/7/1/71ukezb7tbl._sl1500_.jpg, https://oticamart.com/media/catalog/product/8/1/81jitahwc1l._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71jye1lzwtl._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71tkmznmbol._sl1500_.jpg	new	no					adult		https://oticamart.com/media/catalog/product/m/o/mouth-gag.jpg		Mouth Gag OHPL	yes	5
New Buckle Tourniquet Band - 2 Unit	Medical Tourniquet Band Blood Collection Adjustable Quick Release Buckle - Pack of 2	Product Info The New Buckle Tourniquet Band (2 Units) Is A Professional-Grade Medical Tool Designed For Quick And Effective Restriction Of Blood Flow During Venipuncture, Iv Insertion, And First Aid Situations. Featuring A Buckle-Style Quick-Release Mechanism, It Allows Single-Handed Operation, Making It Ideal For Busy Clinics, Hospitals, Laboratories, Or Mobile Medical Teams. Each Band Is Made From Latex-Free, Skin-Safe Elastic Material That’S Gentle On The Skin But Firm Enough To Maintain Compression. The Reusable Design Makes It An Economical And Eco-Friendly Option For Healthcare Providers. Perfect For Phlebotomists, Nurses, Emts, And Even Home Caregivers, This Pack Of 6 Units Ensures You'Re Always Equipped For Routine Or Emergency Use. Key Features Pack Of 2 Units : Cost-Effective Multipack For Professionals And Facilities Quick-Release Buckle : Allows For Fast, One-Hand Application And Removal Durable &amp; Reusable : Made From High-Quality, Elastic Fabric Latex-Free Material : Safe For Patients With Allergies Or Sensitive Skin Comfortable Fit : Stretchable Band Provides Effective Pressure Without Pinching	in_stock	https://oticamart.com/default/medical-tourniquet-band-blood-collection-adjustable-quick-release-buckle-emergency.html	2.42 USD				OTICA	https://oticamart.com/media/catalog/product/8/1/81vlcsqzull._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/8176mpl67gl._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81h3ilzi-1l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/8/1/81kw6rlpb4l._sl1500__1.jpg, https://oticamart.com/media/catalog/product/h/q/hqdefault_4.jpg	new	no				blue	adult		https://oticamart.com/media/catalog/product/t/o/tourniquet-band-2-unit.jpg		New Buckle Tourniquet Band - 2 Unit	yes	3
Makintosh Sheet	Mackintosh Sheet Waterproof Reusable Underpad Hospital & Home Care	Product Info The 1 Meter Mackintosh Sheet Is A Durable And Waterproof Sheet Made From High-Quality Rubberized Material, Commonly Used In Hospitals And Homes To Protect Mattresses, Beds, Or Furniture From Spills, Leaks, And Incontinence. This Medical-Grade Underpad Is Washable, Reusable, And Resistant To Wear And Tear. The Soft Outer Layer Provides Comfort For Patients, While The Inner Waterproof Coating Prevents Fluid Penetration. It’S Suitable For Use Under Patients Recovering From Surgery, Elderly Individuals With Incontinence, Or As A Hygienic Base During Medical Procedures Or Baby Care. Its 1-Meter Length Makes It Compact Yet Effective For A Wide Range Of Applications, Including Hospital Beds, Examination Tables, Wheelchairs, Or Baby Changing Stations. Key Features Size : 1 Meter – Ideal For Focused Surface Protection Waterproof &amp; Leak-Proof : Protects Beds And Furniture From Moisture Reusable &amp; Washable : Long-Lasting And Eco-Friendly Soft Surface Layer : Comfortable For Direct Skin Contact Flexible &amp; Foldable : Easy To Carry, Store, Or Travel With Ideal For : Hospitals, Nursing Homes, Baby Care, Home Patient Care, And Maternity Use	in_stock	https://oticamart.com/default/mackintosh-sheet-waterproof-reusable-underpad-hospital-home-care-makintosh.html	3.59 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/m/a/mackintosh-0.jpg		Makintosh Sheet	yes	1
Rechargeable LED 25282-CL Set OHPL	Welch Allyn 3.5V Professional LED Otoscope Fiber Optic Diagnostic Set Rechargeable Handle	Product Info The Welch Allyn 3.5V Diagnostic Otoscope (Model 25282-CL) is a premium, fiber optic otoscope designed for high-clarity visualization of the ear canal and tympanic membrane. It features advanced LED illumination that delivers consistent, bright, white light for accurate diagnosis without bulb replacement. Built for professional use, this full diagnostic set includes a rechargeable 3.5V power handle, interchangeable specula, and a protective hard case for portability and hygiene. The fiber optic light transmission eliminates shadows, while the wide viewing lens provides a large, clear field of view. Ideal for ENT specialists, general practitioners, pediatricians, and medical students, the 25282-CL is known for its reliability, precision, and long-term performance. Key Features 3.5V LED Illumination : Bright, white, long-lasting light with no bulb replacement Fiber Optic Technology : Delivers clear, shadow-free illumination to the exam site Rechargeable Handle : Includes high-capacity battery and universal charger Wide-Angle Viewing Lens : Allows for simultaneous magnification and instrumentation Durable Construction : Designed for daily clinical use Hard Protective Case : Secure, hygienic storage for mobility Ideal For : ENT clinics, hospitals, GPs, students, and diagnostic centers	in_stock	https://oticamart.com/default/welch-allyn-3-5v-professional-led-otoscope-fiber-optic-diagnostic-set.html	424.75 USD				Welch Allyn		new	no					adult		https://oticamart.com/media/catalog/product/r/e/rechargeable-led-25282-cl-set-ohpl.jpg		Rechargeable LED 25282-CL Set OHPL	yes	5
Non-Rechargeable LED 25282-CL Set OHPL	Welch Allyn 3.5V Diagnostic LED Otoscope Fiber Optic Professional Full Set Non Rechargeable	Product Info The Welch Allyn 3.5V Diagnostic LED Otoscope (Non-Rechargeable Set) is a premium-grade medical diagnostic tool designed for clear, precise ear examinations. Powered by advanced 3.5V LED illumination, this otoscope provides consistent, bright, and white light through its fiber optic system, which ensures unobstructed viewing with no shadows or reflections. Built for clinical precision and durability, the otoscope features a high-quality optical lens with a wide-angle viewing window, allowing enhanced visualization of the tympanic membrane and external auditory canal. The non-rechargeable AA battery handle offers convenience, portability, and long-term usability—perfect for clinics, hospitals, or field work. Each unit is part of a complete professional set, including a hard storage case, interchangeable specula, and a user-friendly handle, making it suitable for ENT specialists, general physicians, pediatricians, and healthcare learners. Key Features Illumination : Bright, long-life 3.5V LED for clear, white light Fiber Optic Technology : Delivers light directly to the examination site without obstruction Non-Rechargeable Handle : Uses standard AA batteries (battery not included) Professional Grade Lens : Wide-view, scratch-resistant optical glass for accurate diagnostics Durable Build : Designed for long-lasting clinical use Portable &amp; Lightweight : Ideal for clinics, home visits, and on-the-go examinations Full Set : Includes otoscope head, non-rechargeable handle, reusable specula &amp; hard case	in_stock	https://oticamart.com/default/welch-allyn-3-5v-diagnostic-led-otoscope-fiber-optic-professional-full.html	356.05 USD				Welch Allyn		new	no					adult		https://oticamart.com/media/catalog/product/n/o/noo-rechargeable-led-25282-cl-set.jpg		Non-Rechargeable LED 25282-CL Set OHPL	yes	5
Otica Nebulizer Mask Set	Nebulizer Mask Set Kid & Adults Flow Adjutsable	Product Info The Nebulizer Mask Set for Kids &amp; Adults is a complete, easy-to-use solution for delivering aerosol medication to patients of all ages. Designed for both home and hospital use, this set includes 2 soft, medical-grade masks (1 pediatric, 1 adult), oxygen tubing, and a medication chamber for efficient drug delivery. The flow-adjustable design allows users or caregivers to control the rate of mist output, ensuring comfort and proper dosage for every age group. The masks are made of non-toxic, latex-free materials, featuring an ergonomic shape that fits comfortably on the face and minimizes medication loss. Compatible with most standard nebulizer machines, this set is essential for managing asthma, bronchitis, COPD, and other respiratory conditions. Key Features Dual Mask Set : Includes 1 adult mask &amp; 1 pediatric mask Flow Adjustable : Easily control medication flow rate based on user need Universal Compatibility : Works with most tabletop and portable nebulizers Complete Set : Includes oxygen tubing and medication cup/chamber Soft, Comfortable Fit : Medical-grade PVC, latex-free and skin-safe Reusable (Non-Autoclavable) : Easy to clean and maintain Ideal For : Home therapy, hospitals, clinics, and respiratory centers	in_stock	https://oticamart.com/default/nebulizer-mask-set-kid-adults-flow-adjutsable.html	2.42 USD				OTICA	https://oticamart.com/media/catalog/product/8/1/81ufk0u8jzl._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71oiavjcvll._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/71yijfwgxgl._sl1500_.jpg, https://oticamart.com/media/catalog/product/7/1/715kndpqfml._sl1500_.jpg, https://oticamart.com/media/catalog/product/h/q/hqdefault_5_5.jpg	new	no					adult		https://oticamart.com/media/catalog/product/6/1/61fxu5eghul._sl1500_.jpg		Otica Nebulizer Mask Set	yes	100
OHPL Formalin Chamber	Formalin Chamber Transparent Acrylic Disinfection Box Trays Surgical Instrument Sterilization	Product Info The 10-Inch Formalin Chamber is a reliable and convenient solution for chemical sterilization of surgical tools, dental instruments, and medical accessories in hospitals, clinics, and laboratories. Constructed from high-quality transparent acrylic, this chamber allows full visibility of contents while maintaining an airtight seal to retain sterilizing fumes. With its 10-inch length, this chamber is ideal for sterilizing larger instruments or multiple tools in one cycle. It features multiple perforated stainless steel trays that can be removed and cleaned easily, ensuring efficient gas circulation and proper exposure to formalin vapors. Widely used in ENT, dental, gynecology, surgical wards, and mobile medical units, this chamber is a space-saving, low-maintenance, and cost-effective option for sterilization where autoclaving isn't suitable. Key Features Size : 10 inches – Ideal for high-volume or large instruments Material : Clear, durable acrylic with tight-seal lid Includes : 2 removable stainless steel trays for organized placement Sterilization Method : Uses formaldehyde tablets or formalin liquid (not included) Transparent Body : Full visibility for safety and convenience Chemical Resistant : Safe for use with formalin and disinfectants Ideal For : Hospitals, clinics, dental setups, and minor OT sterilization	in_stock	https://oticamart.com/default/formalin-chamber-transparent-acrylic-disinfection-box-trays-surgical-instrument-sterilization.html	24.26 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/1/0/10-inch-formalin-chamber.jpg		OHPL Formalin Chamber	yes	1
Otica Nasal N4 Mask OHPL	Nasal N4 CPAP Mask Ultra Light Comfortable Quiet Sleep Apnea	Product Info The Nasal N4 CPAP Mask – Small Size is a premium nasal interface designed to provide comfortable, stable, and quiet breathing support for individuals undergoing CPAP or BiPAP therapy. Specifically tailored for users with smaller facial features, the N4 mask features a low-profile, ergonomic frame and ultra-soft silicone cushions that reduce pressure and skin irritation. Its minimal-contact design makes it ideal for side sleepers and restless users, while the built-in diffused vent system ensures whisper-quiet airflow throughout the night. The adjustable headgear straps help achieve a secure seal and personalized fit, reducing air leaks and enhancing therapy compliance. Compatible with all standard CPAP and BiPAP machines, the N4 Small is the ideal choice for patients seeking comfort, simplicity, and effectiveness in a lightweight nasal mask. Key Features Size : Small – Ideal for smaller face profiles Minimal Contact Design : Reduces pressure points and skin marks Soft Silicone Cushion : Skin-friendly and leak-resistant Ultra-Lightweight Frame : Enhances comfort and mobility Quiet Vent Technology : Silent airflow for uninterrupted sleep Adjustable Headgear : Secure fit for all-night stability Universal Compatibility : Works with all standard CPAP/BiPAP tubing Ideal For : Sleep apnea patients at home, in clinics, or travel use	in_stock	https://oticamart.com/default/nasal-n4-cpap-mask-ultra-light-comfortable-quiet-sleep-apnea.html	15.16 USD				OTICA		new	no					adult		https://oticamart.com/media/catalog/product/o/t/otica-nasal-n4-mask-medium-ohpl.jpg		Otica Nasal N4 Mask OHPL	yes	1
First-Aid-Box-Red	First Aid Box Emergency Medical Kit Multi Compartment Storage & Key Lock Home School Office-Red	Product Info The First Aid Box – Emergency Medical Kit Box Is A Reliable And Secure Storage Solution For Organizing Essential Medical Supplies In Any Setting. Designed With Multiple Compartments And A Sturdy Key Lock, This Box Is Ideal For Quick Access During Emergencies While Keeping Medications Safe From Unauthorized Use, Especially Around Children. Made From High-Quality Metal Material , The Box Features Tiered Compartments And Removable Trays For Easy Sorting Of Medicines, Bandages, Antiseptics, Thermometers, And More. Its Compact Yet Spacious Design Allows It To Fit Neatly In Your Home, Classroom, Office, Clinic, Or Even During Travel. Whether You'Re Preparing For Minor Injuries Or Emergency Situations, This Portable And Lockable First Aid Kit Box Is A Smart Choice For Personal And Professional Health Safety Preparedness. Key Features Multi-Compartment Design : Organized Storage For Medicines &amp; Medical Tools Secure Key Lock : Keeps Medicines Safe And Out Of Reach Of Children Spacious Yet Compact : Holds All Essentials Without Taking Up Too Much Space Durable Build : Made From Strong, Easy-To-Clean Metal Portable Design : Built-In Handle For Mobility In Emergencies Transparent Or Labeled Lid (Optional) : For Quick Content Identification Ideal For : Homes, Schools, Offices, Clinics, Vehicles, And Hostels	in_stock	https://oticamart.com/default/first-aid-box-emergency-medical-kit-multi-compartment-storage.html	9.28 USD				OTICA	https://oticamart.com/media/catalog/product/6/1/61lhlcgepul._sl1500__2__1.jpg, https://oticamart.com/media/catalog/product/6/1/61zlhnuushl._sl1500__2__1.jpg, https://oticamart.com/media/catalog/product/6/1/61h21gknaal._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/7/1/71h69jgp2rl._sl1500__1__1.jpg, https://oticamart.com/media/catalog/product/8/1/81g01shr99l._sl1500__1.jpg	new	no					adult		https://oticamart.com/media/catalog/product/7/1/711pyso4zvl._sl1500__1__1.jpg		First Aid Box	yes	5
